gene	conMean	treatMean	logFC	pValue	fdr
CHEK1	1.124746829	2.715163627	1.590416798	1.02E-107	2.02E-106
RP11-415J8.3	3.331927169	1.904111827	-1.427815342	1.31E-64	5.37E-64
TMEM99	2.944856751	4.000238933	1.055382182	3.54E-69	1.62E-68
IGLV7-46	2.680475846	4.07888718	1.398411334	2.98E-25	5.32E-25
KLK12	0.325953986	1.585686485	1.259732498	3.64E-16	5.50E-16
CD300E	3.079107454	0.930450431	-2.148657022	4.32E-111	1.07E-109
RGS11	2.989857672	1.089236403	-1.900621269	7.50E-95	7.72E-94
IGLV2-11	4.629780269	6.456016049	1.82623578	2.82E-37	6.32E-37
MYO1C	6.604901238	5.518533963	-1.086367275	9.21E-111	2.24E-109
DCAF12	3.573755689	4.627845975	1.054090286	2.04E-114	6.24E-113
PTCRA	1.56416715	0.536886464	-1.027280686	7.24E-91	6.51E-90
CYTH4	4.118692355	2.83655562	-1.282136735	3.61E-74	1.90E-73
GAB2	3.983904844	2.857585061	-1.126319784	7.47E-95	7.69E-94
MMP23B	4.334307424	2.346730009	-1.987577416	2.61E-100	3.44E-99
IL15RA	5.242857211	3.855913711	-1.3869435	4.35E-84	3.09E-83
BTAF1	3.876251135	2.65807014	-1.218180995	1.63E-77	9.55E-77
MYCBP	3.243981886	4.336712122	1.092730236	3.41E-100	4.47E-99
CTD-3184A7.4	3.586537067	2.328071206	-1.258465861	5.51E-59	1.95E-58
TRIM22	6.162720435	4.813367501	-1.349352934	5.09E-87	3.98E-86
IGHG4	3.927350293	7.55110216	3.623751867	1.27E-85	9.49E-85
TAF1C	5.13273173	3.71093263	-1.4217991	1.67E-85	1.24E-84
LMCD1	6.715753432	4.519245077	-2.196508354	4.13E-126	5.46E-124
PTP4A1	5.487704591	7.026997689	1.539293099	2.40E-79	1.49E-78
RELT	3.628177185	2.374195606	-1.253981579	4.08E-69	1.87E-68
RP11-295G20.2	2.411218129	3.775944249	1.36472612	2.47E-63	9.79E-63
CDH5	5.997048225	3.318461794	-2.678586431	5.47E-131	2.72E-128
TMEM259	7.019108372	5.791053353	-1.228055019	1.10E-79	6.89E-79
INTS7	2.339831275	3.400390075	1.0605588	1.08E-107	2.13E-106
LINC00665	2.06663944	3.089738558	1.023099117	1.04E-31	2.09E-31
FAM3B	2.635243474	4.042018564	1.40677509	9.70E-32	1.96E-31
UCHL1	3.275412845	4.596206991	1.320794146	5.66E-14	8.16E-14
C5orf56	3.918456963	2.554538547	-1.363918416	4.89E-96	5.31E-95
STX11	4.143336897	2.01088817	-2.132448727	8.10E-126	9.98E-124
CPD	3.836467144	4.859929683	1.023462538	9.78E-54	3.08E-53
THRA	4.619610511	3.511495678	-1.108114832	3.42E-97	3.91E-96
VIL1	0.188757795	1.799378361	1.610620566	1.48E-47	4.06E-47
ACTA1	1.977244404	0.176105183	-1.801139221	6.37E-94	6.34E-93
CBX2	1.032466324	2.070004836	1.037538512	1.94E-55	6.33E-55
FLAD1	4.016681662	5.048011191	1.031329528	2.06E-96	2.28E-95
SFTPA2	10.16289196	8.500393564	-1.662498392	1.34E-15	2.00E-15
KRT4	2.493809309	1.18357278	-1.310236529	4.67E-47	1.27E-46
FLI1	4.63027797	2.974758927	-1.655519043	6.25E-120	3.14E-118
BPNT1	3.029446224	4.389020821	1.359574597	2.68E-112	7.17E-111
EIF5AP4	0.571572983	2.691594183	2.1200212	9.61E-114	2.81E-112
SERTAD4	1.053397775	2.25079863	1.197400855	6.36E-64	2.56E-63
GPM6A	2.806104028	0.712948359	-2.093155669	1.25E-112	3.40E-111
TTLL3	5.162474147	3.274122027	-1.88835212	2.58E-89	2.19E-88
NUDT1	3.473738797	4.65271203	1.178973233	5.21E-95	5.41E-94
CDC6	0.840018312	2.615705612	1.775687301	1.74E-101	2.43E-100
WDR19	4.390971357	3.053895744	-1.337075613	4.19E-95	4.37E-94
SFTPD	7.108539914	5.87516285	-1.233377064	2.22E-14	3.23E-14
PLA1A	3.752994601	2.060815093	-1.692179507	1.01E-83	7.15E-83
CD33	3.745570719	2.374904421	-1.370666298	5.30E-85	3.87E-84
DZIP1L	2.547488556	1.404107066	-1.14338149	3.63E-75	1.98E-74
COL16A1	4.954836129	3.773048036	-1.181788092	4.63E-52	1.40E-51
KIAA1109	4.462496977	3.435517294	-1.026979683	5.75E-87	4.48E-86
FGR	6.124007768	3.074050183	-3.049957585	6.31E-131	2.89E-128
CLIC6	2.773680887	4.445177753	1.671496866	3.84E-43	9.64E-43
VWF	7.281019372	4.699467617	-2.581551755	5.77E-128	1.15E-125
FAM229A	2.848759912	1.381504152	-1.46725576	1.20E-74	6.41E-74
PNMT	2.316596114	0.720809377	-1.595786737	1.58E-66	6.79E-66
IVL	0.173628012	1.252153987	1.078525976	1.21E-12	1.71E-12
CXCL14	2.040162221	4.282206518	2.242044297	2.38E-44	6.15E-44
EPCAM	5.326228028	8.272489834	2.946261806	2.05E-130	8.54E-128
CCT5	6.02560532	7.322621899	1.29701658	4.35E-101	5.94E-100
PCDHGB7	2.347979075	1.168246327	-1.179732748	2.48E-105	4.23E-104
SPNS2	5.26731383	3.304836955	-1.962476874	9.13E-86	6.85E-85
RP3-525N10.2	2.245416983	0.243052662	-2.002364321	3.54E-120	1.81E-118
NME1-NME2	7.990778341	9.038137136	1.047358796	2.19E-85	1.62E-84
RP11-274B21.3	4.774157008	3.266555553	-1.507601455	2.93E-69	1.35E-68
LINC00969	5.43604618	4.4244482	-1.01159798	2.62E-47	7.17E-47
CENPF	1.203526702	3.662901581	2.459374878	2.70E-115	9.02E-114
ST14	4.0470056	6.240568276	2.193562676	1.40E-123	1.11E-121
RETN	4.422157293	1.781656614	-2.640500678	1.04E-94	1.06E-93
SEMA4B	4.473712514	5.654292539	1.180580025	1.06E-73	5.49E-73
IGLV2-18	1.760133269	2.905978671	1.145845403	6.33E-20	1.02E-19
ADCY4	5.225998064	1.95347679	-3.272521274	4.70E-127	7.50E-125
H2BFS	1.577171201	3.068844682	1.491673481	7.89E-91	7.08E-90
MRGPRF	3.579802244	1.68104697	-1.898755274	1.50E-111	3.86E-110
NDEL1	5.360311662	4.312491377	-1.047820285	2.73E-111	6.92E-110
JUP	5.590850646	6.753624377	1.162773731	2.04E-86	1.56E-85
DCTPP1	3.814109562	5.166847423	1.352737861	3.06E-110	7.26E-109
CDKN1A	6.743295607	5.642469305	-1.100826302	6.61E-54	2.09E-53
ALAS2	1.356988182	0.139257345	-1.217730837	2.18E-102	3.17E-101
MNX1-AS1	0.028693253	1.224709662	1.19601641	1.51E-122	1.02E-120
MZB1	3.54029151	5.142945611	1.602654101	7.61E-41	1.82E-40
UGT1A6	0.43905832	1.849086337	1.410028017	5.72E-20	9.23E-20
CORO6	3.490496692	0.632553001	-2.857943692	1.30E-104	2.14E-103
PAFAH1B3	3.084559832	5.395746596	2.311186764	1.31E-129	3.96E-127
MCOLN3	2.907178293	1.20960526	-1.697573033	1.12E-89	9.60E-89
RNF152	2.260687187	1.000459427	-1.260227759	2.44E-95	2.57E-94
IGKV4-1	4.831731133	7.482844136	2.651113003	3.56E-63	1.41E-62
CTB-61M7.2	2.283285541	0.461460643	-1.821824898	1.91E-102	2.78E-101
TTC21A	3.113907779	1.771910404	-1.341997375	2.38E-78	1.43E-77
CAPN12	2.150076456	3.548082329	1.398005873	7.58E-51	2.24E-50
DACT3	3.069087692	1.541031343	-1.528056349	2.10E-96	2.32E-95
SRPRB	4.115027432	5.21636923	1.101341798	3.32E-77	1.93E-76
RABIF	2.130794478	3.242723858	1.111929379	6.92E-125	6.98E-123
LILRB1	3.597477773	2.22954925	-1.367928523	1.08E-68	4.86E-68
FGD2	4.257859766	2.376049804	-1.881809962	6.89E-104	1.09E-102
DOCK2	4.169478991	2.891367512	-1.278111479	7.96E-87	6.19E-86
TBC1D8	4.464265478	3.392311073	-1.071954405	6.47E-47	1.75E-46
MAMDC2	4.610613459	1.524785443	-3.085828015	1.07E-124	1.04E-122
COA7	1.896543387	2.917529111	1.020985724	3.11E-92	2.93E-91
IGHV3-73	1.911408595	3.997292587	2.085883993	1.00E-42	2.49E-42
SYT7	1.317027	3.313477334	1.996450334	4.14E-86	3.14E-85
CSF3R	6.939407456	3.996691816	-2.94271564	7.76E-107	1.44E-105
AKR7A3	0.656726804	1.957036108	1.300309305	3.35E-26	6.09E-26
MRPS35	3.84383129	5.186406464	1.342575174	3.17E-111	7.97E-110
CLIC5	4.965534463	2.298199738	-2.667334725	7.32E-106	1.28E-104
FTSJ2	3.33328704	4.377381612	1.044094572	2.76E-102	3.99E-101
TMEM44	4.107583146	3.075569762	-1.032013384	1.43E-63	5.70E-63
LIMK1	3.588483506	4.758367345	1.169883838	2.61E-89	2.22E-88
MIR497HG	2.839360703	1.277807933	-1.56155277	2.07E-119	9.97E-118
BTF3L4P2	3.974081827	5.230389785	1.256307958	2.18E-106	3.91E-105
BCL9	2.159321473	3.286049352	1.12672788	8.68E-98	1.02E-96
AGAP11	1.979441324	0.333440433	-1.646000891	6.51E-120	3.25E-118
MISP	3.0714431	4.263754953	1.192311853	3.07E-49	8.76E-49
RP11-87H9.4	2.596742545	1.405525307	-1.191217239	2.22E-66	9.54E-66
ARHGAP6	3.353097098	0.93471705	-2.418380048	4.26E-133	1.09E-129
PLA2G4F	3.561340936	1.893103835	-1.668237102	2.53E-30	4.97E-30
TPX2	1.11084098	3.587832259	2.476991279	1.22E-114	3.80E-113
LAMC2	3.607054672	5.000176609	1.393121937	1.98E-43	5.00E-43
CNOT11	3.920438678	4.985133182	1.064694504	4.21E-118	1.79E-116
TLR2	4.569888275	3.194329254	-1.375559021	6.36E-70	2.98E-69
KANK2	6.597036078	4.773390259	-1.823645819	3.79E-127	6.16E-125
MKNK1	5.385250525	4.178689737	-1.206560787	7.36E-99	9.11E-98
CXCL2	5.821235321	4.313498114	-1.507737206	1.45E-37	3.27E-37
CD69	4.075980021	2.646804565	-1.429175457	7.44E-62	2.83E-61
LY6K	0.782348301	2.619834176	1.837485875	1.53E-21	2.55E-21
FOXO1	3.657289811	2.382277298	-1.275012512	3.57E-98	4.25E-97
SIRPA	4.98463056	3.772957408	-1.211673152	6.14E-88	4.98E-87
NUDT8	2.609629557	3.631657301	1.022027743	1.55E-66	6.68E-66
SFI1	4.274136552	3.258039386	-1.016097166	1.32E-53	4.15E-53
ALDH1A1	6.311480229	4.8879106	-1.423569629	8.10E-47	2.19E-46
STOM	7.66936551	6.448349265	-1.221016245	1.15E-100	1.53E-99
SYNE3	2.100906411	0.759995088	-1.340911323	4.30E-125	4.54E-123
IMPDH1P10	2.102416164	1.041372559	-1.061043604	2.09E-65	8.76E-65
PEAR1	3.986979878	1.205922537	-2.78105734	4.83E-131	2.46E-128
LINC00472	1.99830605	0.300425681	-1.697880369	3.64E-127	5.97E-125
FMOD	5.382830228	4.24136066	-1.141469569	4.13E-67	1.80E-66
AK4	1.366392458	2.781870473	1.415478015	6.60E-55	2.13E-54
CBFA2T3	3.386198541	1.371579334	-2.014619208	3.12E-115	1.03E-113
SCAMP5	1.365095312	2.608521277	1.243425965	2.69E-89	2.28E-88
COX7A1	5.789612421	4.169299523	-1.620312898	4.23E-101	5.79E-100
RSPO1	1.863179246	0.286610439	-1.576568806	2.87E-127	4.84E-125
IGLV6-57	2.834640391	4.997349332	2.162708941	1.60E-51	4.81E-51
CSTF2	2.361513653	3.530001288	1.168487635	3.43E-122	2.17E-120
VWA2	1.053028755	2.331748137	1.278719381	3.52E-65	1.46E-64
KIF26B	0.788704594	2.146028395	1.3573238	3.20E-87	2.52E-86
LYPD1	0.786964307	2.436120199	1.649155892	2.58E-84	1.84E-83
CDCA2	0.363081535	1.433530164	1.070448629	3.76E-106	6.70E-105
UNG	3.181595117	4.243811287	1.06221617	5.16E-104	8.19E-103
UPK3B	5.027194292	1.898010878	-3.129183414	2.17E-91	1.98E-90
UBD	2.312193761	5.296197584	2.984003824	4.78E-86	3.61E-85
TPBG	2.601622949	3.603187717	1.001564767	2.35E-65	9.81E-65
PRKD1	2.771242623	1.749994403	-1.021248221	5.11E-76	2.87E-75
JMJD7-PLA2G4B	2.907662254	1.485992019	-1.421670235	3.44E-92	3.24E-91
GSTM5	3.62918611	1.436446572	-2.192739538	2.12E-123	1.62E-121
ATF3	5.966237806	4.436166767	-1.530071039	1.01E-44	2.64E-44
CCNL1	6.934932652	4.966806199	-1.968126453	1.16E-97	1.35E-96
ACKR4	2.147999896	0.946562549	-1.201437348	3.34E-86	2.54E-85
SNORA73A	0.710036395	1.869894314	1.159857919	3.33E-29	6.42E-29
LINC01436	0.907374166	2.011039651	1.103665484	7.31E-21	1.20E-20
AC018766.4	2.899568895	1.732404477	-1.167164418	6.73E-66	2.85E-65
BTNL9	6.299166885	1.264719024	-5.034447861	1.34E-132	1.54E-129
GPR17	2.415545167	0.244525834	-2.171019334	1.34E-125	1.56E-123
RP11-734K23.9	3.078578065	1.801884972	-1.276693093	5.29E-44	1.36E-43
CASP12	1.480787509	0.2347231	-1.24606441	5.38E-124	4.59E-122
JAM2	4.211182133	2.009183116	-2.201999018	5.84E-126	7.34E-124
PCDH15	1.160792315	0.154797486	-1.00599483	9.00E-112	2.34E-110
LRRC15	0.581763769	1.891384762	1.309620993	2.72E-62	1.05E-61
GIMAP7	4.901561636	3.355666621	-1.545895015	1.64E-93	1.62E-92
GNPNAT1	2.488520894	3.780907179	1.292386285	3.14E-102	4.54E-101
LMBR1L	5.44830942	4.308725296	-1.139584124	3.91E-67	1.71E-66
HSPB7	3.784851848	1.453382917	-2.331468931	4.60E-119	2.11E-117
KRT13	2.208862418	0.788655681	-1.420206736	7.72E-79	4.71E-78
PECAM1	6.999732399	4.807116122	-2.192616277	1.58E-129	4.57E-127
IGHV3-15	3.527621595	5.631605941	2.103984346	5.16E-48	1.43E-47
RP11-386I14.4	2.635359428	1.344578569	-1.290780859	2.98E-29	5.75E-29
RPL23AP65	1.198455138	2.397647988	1.19919285	1.29E-60	4.78E-60
FERMT3	5.304497323	4.186975161	-1.117522163	5.81E-68	2.58E-67
EMP2	7.322884915	5.777838812	-1.545046103	4.92E-92	4.61E-91
FBXO32	2.745700233	4.331107612	1.585407379	3.77E-83	2.61E-82
TMEM150B	2.99557522	1.835925988	-1.159649233	3.42E-66	1.46E-65
PREX1	5.032173793	3.077138773	-1.95503502	5.54E-120	2.79E-118
BYSL	2.788499784	4.011499281	1.222999497	1.71E-90	1.51E-89
MPP3	3.786393862	2.289926568	-1.496467294	1.85E-82	1.26E-81
RERG	3.470195486	2.253791632	-1.216403854	1.03E-69	4.80E-69
NEXN	4.21686014	2.184476623	-2.032383518	1.40E-113	4.04E-112
MAP7	2.24433071	3.534186923	1.289856213	3.69E-95	3.86E-94
MTL5	0.645456733	1.675146836	1.029690104	9.88E-52	2.97E-51
TMEM30B	2.716461618	4.083637686	1.367176068	1.08E-86	8.36E-86
PAX8-AS1	3.669278021	2.620616767	-1.048661254	1.00E-22	1.71E-22
CKMT1A	0.832903687	2.516595554	1.683691867	2.15E-58	7.50E-58
TMEM33	3.276132815	4.506640399	1.230507584	2.07E-113	5.92E-112
AL158801.1	0.731664824	2.340984513	1.609319688	3.73E-103	5.65E-102
COL6A6	3.209215923	0.861086911	-2.348129012	1.60E-118	6.97E-117
SMTNL2	2.092648301	0.711398504	-1.381249798	3.53E-99	4.44E-98
MLEC	4.661228956	5.702685722	1.041456766	5.22E-87	4.08E-86
B4GALNT4	0.734308239	2.114265726	1.379957487	3.21E-38	7.31E-38
CACNB2	1.791760813	0.73830801	-1.053452804	8.71E-85	6.32E-84
RPL39P3	7.725301944	9.326902237	1.601600293	1.43E-80	9.21E-80
CDH23	2.777760809	0.905302906	-1.872457903	1.36E-120	7.24E-119
CCDC180	2.343537945	1.093631439	-1.249906506	1.73E-81	1.14E-80
LYPD3	1.146752509	2.624175576	1.477423067	5.22E-61	1.95E-60
RP11-295P9.3	4.131911284	2.750206687	-1.381704597	1.14E-75	6.33E-75
RP11-12G12.7	1.230328457	2.502971128	1.27264267	7.08E-95	7.31E-94
COL21A1	2.84056763	1.775699211	-1.06486842	1.06E-44	2.75E-44
MS4A7	5.461966163	3.649894015	-1.812072149	2.50E-96	2.74E-95
LRG1	2.717746778	3.753142597	1.035395819	4.40E-40	1.04E-39
ABCA10	2.409162509	0.497411919	-1.91175059	2.82E-117	1.10E-115
CLEC14A	5.362300948	3.299357364	-2.062943584	8.32E-113	2.29E-111
RP11-79D8.2	2.891805681	1.856953012	-1.034852669	6.47E-63	2.53E-62
ADGRL4	3.928017724	2.614412894	-1.31360483	6.53E-102	9.33E-101
CLDN18	6.098354603	2.424133629	-3.674220974	7.70E-89	6.46E-88
SIGLEC17P	1.918985093	0.707292869	-1.211692224	1.85E-100	2.45E-99
MMP2	7.500859878	6.471045835	-1.029814044	3.48E-39	8.08E-39
ARRDC4	3.495996348	2.485089109	-1.010907239	5.22E-67	2.27E-66
CHAF1B	0.876680808	1.898060488	1.02137968	6.33E-110	1.46E-108
SLCO4A1	5.311607882	2.164271541	-3.147336342	9.77E-90	8.43E-89
IARS2	4.291526954	5.361698729	1.070171775	5.37E-112	1.41E-110
ACAP3	4.861155286	3.760258003	-1.100897283	7.47E-53	2.30E-52
SERPING1	9.243516049	7.427271059	-1.81624499	5.86E-122	3.63E-120
NEK3	3.623989243	2.612631717	-1.011357526	3.21E-71	1.55E-70
SEMA3B	5.71304268	3.239717838	-2.473324842	6.89E-105	1.15E-103
IGKV1-37	0.194115643	1.262491083	1.06837544	6.18E-65	2.56E-64
PCF11	5.145163363	3.858626122	-1.286537241	2.11E-96	2.33E-95
AMY1C	2.420986363	3.883167109	1.462180746	1.53E-22	2.59E-22
NDC80	0.89775376	2.444269342	1.546515583	3.65E-95	3.82E-94
BST1	3.407790322	2.308625894	-1.099164428	9.53E-82	6.33E-81
RP11-1212A22.1	4.472387136	2.729073235	-1.743313901	5.82E-80	3.68E-79
IGKV2D-40	1.101514506	2.493419301	1.391904795	2.67E-27	4.97E-27
LILRB5	3.030860483	1.544888434	-1.485972049	7.32E-83	5.02E-82
GIMAP8	4.228186208	2.060841948	-2.16734426	5.37E-126	6.95E-124
TMOD1	3.432639279	1.64655752	-1.786081759	3.48E-116	1.25E-114
FHOD1	5.968397646	4.552443184	-1.415954462	1.71E-77	1.00E-76
AQP3	5.777545517	7.216079394	1.438533877	4.50E-32	9.13E-32
METTL7A	5.783807404	4.206692034	-1.57711537	6.37E-91	5.74E-90
FGD5	4.343394701	2.309338401	-2.0340563	4.94E-130	1.68E-127
METTL18	1.806475015	2.878057206	1.071582191	3.31E-111	8.29E-110
GIMAP1-GIMAP5	2.984267699	1.769826228	-1.214441471	4.27E-89	3.61E-88
GSKIP	2.680019221	3.937659876	1.257640655	1.12E-108	2.36E-107
TNNT2	3.477420541	1.36485546	-2.112565081	1.94E-98	2.34E-97
RP3-461F17.3	2.499980075	3.962302009	1.462321934	7.61E-109	1.62E-107
CCDC34	1.442726472	2.924520303	1.481793832	6.25E-105	1.04E-103
CTD-2192J16.22	3.648203902	2.388707993	-1.25949591	1.61E-54	5.16E-54
RAMP2	6.772571064	4.201847747	-2.570723317	2.87E-123	2.12E-121
IGKV3-7	0.10196295	1.14350307	1.04154012	1.60E-91	1.47E-90
SEC11C	5.564857897	6.794287665	1.229429768	1.10E-56	3.68E-56
EIF6	5.991546185	7.134819678	1.143273493	2.48E-111	6.29E-110
PLCB2	5.080921687	3.533371428	-1.547550259	8.05E-79	4.91E-78
PYCRL	2.053178882	3.293238098	1.240059216	1.18E-98	1.44E-97
ABCC8	2.863521755	0.599520447	-2.264001308	5.49E-89	4.63E-88
PPM1H	1.153877686	2.175396104	1.021518418	2.14E-62	8.26E-62
KDM5D	3.012192372	1.462862119	-1.549330253	9.46E-37	2.10E-36
TSTA3	5.090080906	6.383252284	1.293171378	8.45E-106	1.48E-104
FEN1	2.287756545	3.907405205	1.61964866	6.43E-110	1.48E-108
RNASE2	2.636190884	1.550646707	-1.085544177	5.07E-29	9.75E-29
PCSK1N	1.453241588	2.592224547	1.138982959	1.26E-18	1.98E-18
KALRN	3.096045255	1.979909785	-1.11613547	5.71E-74	2.99E-73
YWHAZP4	0.442431316	1.714947721	1.272516405	2.46E-111	6.24E-110
MYO7B	2.188905411	0.518135778	-1.670769632	3.96E-110	9.31E-109
CACNA1C	2.614171869	1.116373208	-1.497798661	4.13E-100	5.39E-99
PTRH2	3.448707086	4.595831423	1.147124337	2.39E-100	3.15E-99
ARNTL2	1.172682392	2.477497567	1.304815175	2.61E-63	1.03E-62
TMED3	5.034818545	6.728287111	1.693468567	1.23E-123	9.81E-122
RAD51AP1	1.132411091	2.487607727	1.355196637	9.00E-91	8.04E-90
SLC50A1	4.862245561	6.487112747	1.624867187	1.95E-119	9.42E-118
GFRA3	0.402171246	2.175235808	1.773064562	2.94E-58	1.02E-57
ARHGEF25	4.040935756	2.480768864	-1.560166891	1.86E-95	1.98E-94
DNASE1L3	2.969984258	1.264680141	-1.705304118	1.08E-76	6.19E-76
RP11-316M1.12	0.891188061	2.906470183	2.015282122	3.45E-52	1.05E-51
UQCRH	6.869747302	7.870660775	1.000913473	2.62E-107	4.99E-106
FMO3	3.73448383	2.344816289	-1.389667541	1.95E-73	1.00E-72
AP1S3	1.659051964	2.755527901	1.096475938	1.88E-71	9.15E-71
MAL	4.120753261	2.284406639	-1.836346623	6.23E-91	5.61E-90
ZAP70	3.568917029	2.195896742	-1.373020287	3.13E-54	9.97E-54
RGL4	1.887112675	0.844653313	-1.042459363	4.41E-61	1.65E-60
CA3	3.57779287	1.088087705	-2.489705165	5.50E-109	1.18E-107
RAPGEF4	3.333626645	1.230305521	-2.103321124	9.68E-126	1.17E-123
GPX2	1.204624211	3.936085123	2.731460912	1.01E-29	1.96E-29
NPIPA5	5.970348481	4.303787588	-1.666560893	1.64E-90	1.45E-89
LCN6	2.26899985	0.268001811	-2.000998039	1.27E-118	5.64E-117
RP11-434H6.7	2.510853861	1.366097067	-1.144756794	2.10E-82	1.42E-81
COL6A2	8.004347388	6.577781031	-1.426566357	3.87E-65	1.61E-64
KRT80	1.71571335	3.657145047	1.941431697	1.58E-92	1.50E-91
LAMA4	5.517891765	3.573809135	-1.94408263	1.57E-108	3.27E-107
RP11-268J15.5	2.437477511	1.31741725	-1.120060261	4.33E-64	1.75E-63
MAP3K8	5.281685383	3.40309644	-1.878588943	5.10E-115	1.65E-113
SH3D19	5.251870248	3.917233651	-1.334636597	7.87E-104	1.23E-102
AQP4	4.793208492	3.132472403	-1.660736089	3.75E-34	7.92E-34
RIC3	2.734362616	1.106862505	-1.627500111	2.53E-91	2.31E-90
LINC00641	2.629482139	1.290179459	-1.33930268	2.00E-98	2.41E-97
GPT2	1.516146479	3.736167925	2.220021447	2.16E-122	1.43E-120
TXNDC5	5.748349472	6.848404793	1.100055321	1.73E-82	1.17E-81
TIMP2	7.370075135	6.320340522	-1.049734614	1.66E-65	6.96E-65
SH3BP5-AS1	3.648362383	1.794579618	-1.853782765	3.88E-99	4.87E-98
C1QTNF7	2.153095547	0.816649133	-1.336446414	1.59E-85	1.18E-84
MAMDC4	2.49735005	1.486339722	-1.011010328	2.01E-43	5.09E-43
CALHM2	4.516048929	3.325403994	-1.190644934	1.08E-95	1.16E-94
RBBP8NL	0.246640264	1.352297131	1.105656867	5.90E-116	2.09E-114
SH3BP5	5.752106579	4.20234684	-1.549759739	1.42E-107	2.76E-106
MYL9	8.637806389	6.675041482	-1.962764906	3.50E-119	1.63E-117
PHLDB2	4.507639262	2.448942997	-2.058696265	1.20E-110	2.91E-109
AHNAK	6.823786592	4.987735773	-1.836050819	2.73E-109	6.01E-108
ITGAM	4.167337894	2.77659446	-1.390743434	1.13E-71	5.54E-71
IGLV3-27	1.770774397	3.264955151	1.494180754	1.02E-28	1.95E-28
MMP7	2.414033126	5.289583127	2.875550001	9.58E-74	4.98E-73
IGHV4-61	2.538830316	4.354040803	1.815210487	1.08E-39	2.53E-39
TCF21	5.051350037	1.285229011	-3.766121026	1.05E-132	1.37E-129
AC009120.6	3.179960436	2.092319881	-1.087640555	1.17E-58	4.12E-58
LRRK2	4.505300669	2.79612728	-1.709173389	5.24E-50	1.52E-49
CAMTA2	5.509470491	4.437111328	-1.072359163	1.62E-81	1.07E-80
SPC24	0.978603761	2.179884078	1.201280316	7.15E-80	4.50E-79
TRIM31	0.323609618	1.599040142	1.275430525	3.38E-71	1.64E-70
HOXA4	3.335062021	1.282790594	-2.052271427	2.67E-113	7.57E-112
CCDC68	3.127048214	1.911699309	-1.215348905	4.10E-80	2.61E-79
TPRG1	3.094868984	1.665866264	-1.42900272	1.33E-100	1.77E-99
ARHGAP40	0.658783582	1.884125153	1.225341571	4.99E-52	1.51E-51
LSM12P1	2.216405783	3.465922256	1.249516472	1.50E-96	1.67E-95
C14orf132	3.425109787	1.415582972	-2.009526815	2.39E-119	1.14E-117
WNT2B	2.208729875	0.67843055	-1.530299324	1.41E-120	7.46E-119
MTMR9LP	3.667901952	1.755725784	-1.912176168	2.38E-90	2.09E-89
LAMB2	7.971644021	6.418705124	-1.552938898	1.86E-109	4.15E-108
FAM160B2	5.615271559	4.384541662	-1.230729896	4.44E-71	2.14E-70
FAM136A	3.674798079	4.760798343	1.086000264	8.55E-115	2.71E-113
DNAJC12	1.143688046	3.486579797	2.342891751	8.52E-78	5.02E-77
GPRC5C	4.611083298	5.722522521	1.111439223	4.88E-44	1.25E-43
SMG1P7	2.344632625	1.128073848	-1.216558777	2.23E-68	1.00E-67
ARC	2.19870954	0.43188872	-1.766820819	1.22E-113	3.55E-112
RP3-508I15.19	1.726376801	0.707895828	-1.018480974	2.94E-80	1.88E-79
FAM84B	3.72039956	4.818877852	1.098478292	2.25E-67	9.86E-67
SFXN1	2.747666358	3.935354041	1.187687683	6.72E-107	1.25E-105
BCHE	2.644492115	0.981545325	-1.662946789	2.33E-95	2.46E-94
CLDN7	5.721355986	6.859316711	1.137960725	1.12E-79	7.04E-79
LCP2	5.267073473	3.969384479	-1.297688995	7.36E-82	4.91E-81
CKS1BP3	0.658749377	2.793215926	2.134466549	1.44E-99	1.84E-98
LONRF1	3.848155575	2.69173394	-1.156421635	6.18E-103	9.21E-102
HGD	1.035513811	2.833515656	1.798001845	5.68E-44	1.45E-43
TLDC2	2.818755457	1.330467624	-1.488287834	1.40E-87	1.12E-86
WAS	4.331596399	3.155283244	-1.176313155	1.75E-79	1.09E-78
RP11-211G3.2	1.356695545	0.264047604	-1.092647941	6.14E-86	4.63E-85
ADARB1	4.59371728	2.342072899	-2.251644381	1.97E-129	5.36E-127
TM6SF1	3.096517463	1.979101085	-1.117416378	3.01E-84	2.15E-83
SGPP2	1.971228711	4.156931611	2.1857029	5.84E-90	5.09E-89
GYLTL1B	1.940411163	3.922835724	1.982424561	2.69E-91	2.46E-90
MT1X	7.795864369	6.054826384	-1.741037985	1.13E-50	3.32E-50
CBX7	4.696357304	2.988528337	-1.707828967	1.43E-115	4.93E-114
SLFN11	4.534958413	3.475567179	-1.059391234	2.52E-63	9.98E-63
VPREB3	0.479386366	1.866809188	1.387422822	7.99E-91	7.16E-90
AF131215.9	1.617021796	0.560563188	-1.056458607	1.02E-107	2.02E-106
CCDC84	5.065729408	3.846858295	-1.218871112	5.27E-68	2.34E-67
IFRD1	5.223212378	4.180580595	-1.042631783	4.44E-51	1.32E-50
PLK1	1.568475164	3.411054898	1.842579734	2.61E-102	3.77E-101
RP11-69E11.4	3.122504073	1.718221202	-1.40428287	8.67E-69	3.93E-68
